,by,descendants,id,kids,score,time,title,type,url,text
30,plaguna,27.0,38847586,"[38849879, 38848744, 38848964, 38851724, 38850777, 38849502, 38849586, 38850512]",72,1704232314,OpenIndiana Illumos Distro,story,https://www.openindiana.org/,
31,jatwork,0.0,38851774,,3,1704268976,NYT vs. GPT: Microsoft finds itself on the other side of an industry,story,https://www.geekwire.com/2023/nyt-v-gpt-microsoft-finds-itself-on-the-other-side-of-an-industry-defining-copyright-dispute/,
32,cfmcdonald,6.0,38825299,"[38848818, 38825881, 38849101]",28,1704041001,"Steam and Electricity, Part 1: Electric Light",story,https://technicshistory.com/2023/12/31/steam-and-electricity-part-1-electric-light/,
33,gslin,154.0,38841080,"[38843456, 38845825, 38845822, 38842494, 38842957, 38841956, 38844571, 38849170, 38842870, 38843315, 38845704, 38846752, 38842026, 38842962, 38845560, 38848415, 38848865, 38842791, 38847403, 38841529, 38848077, 38846059, 38842761, 38847706, 38847299, 38843401, 38846101, 38847722]",540,1704199582,"After 34 years, someone beat Tetris [video]",story,https://www.youtube.com/watch?v=GuJ5UuknsHU,
34,smilliken,,38842297,,1,1704207583,MixRank (YC S11) is hiring global remote software engineers,job,,"Programming should be fun. At MixRank, we get to work with distributed systems, databases, data science, and big data. No meetings, no bureaucracy, no office, no time tracking— just challenging technical problems you can devote your full attention to.<p>MixRank processes petabytes of data every month from web crawling. We have hundreds of customers using our data products including Google, Amazon, Facebook, Intel, and Adobe, across industries including Recruiting, Finance, Security, Sales, and Marketing.<p>Our team is 42 full-time, full-remote from 16+ countries. We&#x27;re growing, profitable, employee-owned, no dependence on outside funding. Applicants from all geographies and backgrounds are welcome.<p>We are looking for passionate individuals for whom programming is not just a job but it&#x27;s something they love to do. We&#x27;re obsessed with computers, programming, big data, databases, compilers, hardware, math, data science, and the internet. Does this sound like you? Please apply to join our team.<p>Our code base is very friendly to new contributors. You&#x27;ll have a (fully-automated) development environment and be pushing commits on your first day. Deployments to production happen multiple times per day and finish in less than 2 minutes. Our codebase is written in Python, SQL, Javascript&#x2F;TypeScript, Rust, and Nix. The basic technologies you&#x27;ll need to be productive are Python, PostgreSQL, Linux, and Git.<p>We operate at a larger scale than typical startups. We operate two datacenters with high performance servers we&#x27;ve built that are capable of dealing with the volumes of data we process. We&#x27;ve implemented our own distributed file system. We do full-scale web crawls. We download and perform static analysis on the entire universe of Android APKs and iOS IPAs that are published. Unlike a typical startup where you&#x27;ll spend half of your time in meetings, and the other half fixing bugs from Jira tickets— at MixRank you&#x27;ll get to direct your entire focus into difficult technical problems that will help you to grow as an individual.<p>--<p>Junior Software Engineer<p>We&#x27;re looking for remote junior engineers that have 0-3 years of professional experience in software, and 5+ years of curiosity exploring computers, programming, and technical hobby projects. This is an open-ended entry role with mentorship and diverse opportunities to work on all areas of our product: databases, distributed systems, infrastructure and tooling, data analysis, machine learning, frontend&#x2F;backend web development, APIs, data mining, data modeling, and more. To stand out, please highlight what makes you unique: passion for computing, curiosity and side projects, work ethic, niche research, etc.<p>Ideally you&#x27;ve already finished with school, but if you still have one or more years left please feel free to apply anyway. If you&#x27;re the right fit for the team we&#x27;ll figure out a way to accommodate your schedule.<p>--<p>Software Engineer<p>We&#x27;re hiring generalist software engineers to work on web applications, data mining, machine learning&#x2F;data science, data transformation&#x2F;ETL, data modeling, database scaling, infrastructure, devops, and more. We&#x27;ll customize the role to whatever subset of these areas match your interests.<p>Beneficial experience includes PostgreSQL, Python, Linux, TypeScript, Rust, Nix, frontend&#x2F;backend web development, and data mining.<p>--<p>Please apply here: <a href=""https:&#x2F;&#x2F;www.ycombinator.com&#x2F;companies&#x2F;mixrank&#x2F;jobs"">https:&#x2F;&#x2F;www.ycombinator.com&#x2F;companies&#x2F;mixrank&#x2F;jobs</a>"
35,firloop,5.0,38845173,"[38848307, 38847355, 38848988, 38847364]",40,1704220733,Spoonbill (2016–2023),story,https://www.applied-cartography.com/spoonbill,
36,sjmiller609,39.0,38848001,"[38849998, 38848720, 38849550, 38849086, 38849020, 38849425, 38849380, 38849695]",90,1704234844,Thoughts on PostgreSQL in 2024,story,https://jkatz05.com/post/postgres/postgresql-2024/,
37,shanselman,13.0,38845059,"[38848108, 38851565, 38848928, 38847321, 38848198, 38849536, 38847264]",47,1704220251,Building a self-contained game in C# under 2 kilobytes,story,https://migeel.sk/blog/2024/01/02/building-a-self-contained-game-in-csharp-under-2-kilobytes/,
38,wahnfrieden,35.0,38850103,"[38850979, 38850379, 38850170, 38851168, 38851273]",47,1704250345,"Midjourney developers caught discussing laundering, creating database of Artists",story,https://twitter.com/JonLamArt/status/1741545927435784424,
39,vinnyvichy,8.0,38843329,"[38847829, 38850871, 38845367, 38847396]",34,1704212500,Nobel laureate Yunus sentenced to jail in Bangladesh,story,https://www.bbc.com/news/world-67858016,
